Valley Stream - Woodmere,14
Valley Stream - Cedarhurst,12
Valley Stream - Lawrence,11
Albertson - Albertson,141
Nostrand Avenue - Jamaica,177
Garden City - Garden City,370
Long Island City - Greenlawn,157
Hewlett - Hewlett,384
Greenport - Greenport,101
Southold - Greenport,101
Babylon - Mastic Shirley,109
Babylon - Speonk,111
Babylon - Westhampton,104
Babylon - Hampton Bays,93
Babylon - Southampton,65
Babylon - Bridgehampton,49
Forest Hills - Lynbrook,89
Forest Hills - Rockville Centre,159
Forest Hills - Baldwin,154
Forest Hills - Freeport,153
Forest Hills - Merrick,128
Forest Hills - Bellmore,120
Forest Hills - Wantagh,103
Forest Hills - Seaford,96
Forest Hills - Massapequa,93
Forest Hills - Massapequa Park,78
Forest Hills - Amityville,78
Forest Hills - Copiague,65
Hunterspoint Avenue - East Williston,223
Hunterspoint Avenue - Albertson,215
Hunterspoint Avenue - Roslyn,204
Hunterspoint Avenue - Greenvale,193
Hunterspoint Avenue - Glen Head,167
Hunterspoint Avenue - Sea Cliff,146
Hunterspoint Avenue - Glen Street,139
Penn Station - Bridgehampton,574
Woodside - Massapequa,220
East New York - St. Albans,17
East New York - Lynbrook,18
East New York - Rockville Centre,25
Plandome - Lindenhurst,168
Plandome - Country Life Press,168
Penn Station - East Hampton,363
Broadway - Hampton Bays,84
Broadway - East Rockaway,147
East Rockaway - Hampton Bays,254
Broadway - Bellerose,96
New Hyde Park - Hempstead Gardens,164
['New Hyde Park'][],330
New Hyde Park - West Hempstead,179
New Hyde Park - Hampton Bays,51
New Hyde Park - Mastic Shirley,44
New Hyde Park - East Rockaway,56
Gibson - Gibson,229
Woodside - Massapequa Park,223
Baldwin - Merrick,98
Baldwin - Bellmore,94
Baldwin - Wantagh,93
Baldwin - Seaford,93
Baldwin - Massapequa,70
Baldwin - Massapequa Park,65
Hunterspoint Avenue - Bridgehampton,93
Hunterspoint Avenue - East Hampton,64
Hunterspoint Avenue - Amagansett,44
Greenvale - Greenvale,99
Woodside - Hollis,16
Woodside - Queens Village,16
Woodside - Bellerose,15
Woodside - Stewart Manor,8
Woodside - Nassau Boulevard,6
Woodside - Garden City,4
Woodside - Country Life Press,4
New Hyde Park - Bethpage,10
Atlantic Terminal - Island Park,132
['Great Neck'][],33
Great Neck - Mineola,55
Great Neck - Islip,6
Long Island City - Babylon,38
Long Island City - Bay Shore,34
Long Island City - Islip,27
Long Island City - Great River,24
Long Island City - Oakdale,22
Long Island City - Sayville,17
Jamaica - Westwood,41
Hunterspoint Avenue - Glen Cove,86
Belmont - Belmont,12
Merrick - Wantagh,46
Merrick - Seaford,46
Merrick - Massapequa,44
['Westbury'][],706
Westbury - Baldwin,300
Westbury - East Rockaway,299
Hempstead - East Rockaway,192
['Hempstead'][],300
